scan_name,proposed_scan_group,note
a guaranteed service refund has been voided for this package,new__new__Guaranteed service refund voided.,new
all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,new__Package damaged in transit.,new
/ all merchandise was not recoverable and was discarded ups will notify the sender with details of the damage,new__Package damaged in transit.,new
as requested by the sender the delivery change for this package was completed,new__New instructions received - We updated the delivery information for your package.,new
as requested by the sender the package will be delivered later than the normal delivery time for your area,new__Delivery rescheduled.,new
as requested by the sender this package requires special handling,new__new__Special handling required.,new
a work stoppage at the receiver s location has prevented delivery,new__Delivery attempted. Receiver not available for delivery.,new
click on get updates to receive email updates on your shipment s progress,not_clear,
commercial inside release,new__new__Commercial inside release.,new
customer has picked up package at ups access point,new__Delivered.,new
customer has picked up package at ups access point,new__Delivered.,new
damaged merchandise returned remaining content will be delivered ups will notify the sender with details of the damage,new__Package damaged in transit.,new
damage investigation currently in progress,new__new__Damage investigation in progress.,new
delivery attempted,Delivery attempted,
hazardous materials labeling is missing and is required for clearance we are working to obtain this information,Missing or incomplete export documentation,
import c o d icod charges are due for this package online payment required at ups com,Import charges are due,
left at customer s location,Delivered,
merchandise missing balance being returned ups will notify the sender with details of the damage,Package damaged in transit,
other driver follow up,not_clear,
package found,new__new__Package found,new
returned to sender,Returned to sender,
return to shipper required for compliance reasons,Shipment to be returned,
shipper release,new__new__Shipper release,new
signed delivery notice,new__new__Signed delivery notice,new
signed delivery notice,new__new__Signed delivery notice,new
the address has been corrected,new__new__Address corrected,new
the billing option selected is not valid for this package,new__new__Invalid billing option,new
the billing option selected is not valid for this package,new__new__Invalid billing option,new
the commodity value of your package exceeds the limit we allow,new__new__Commodity value exceeds limit,new
the company or receiver name is incorrect we re working to contact the receiver for information,Correct company or receiver name needed for delivery,
the contents of the package being returned do not match the description provided by the sender,new__new__Contents mismatch,new
the damaged merchandise is being held at an agent s location ups will notify the sender with details of the damage,Package damaged in transit,
the damage inspection request has been reissued,new__new__Damage inspection request reissued,new
the driver was not able to receive payment a final attempt will be made the next business day,1st delivery attempt. Unable to collect tax payment.,
the floor number is either missing or incorrect this may delay delivery we re attempting to update the address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
/ the information requested has been obtained and the hold has been resolved,new__new__Hold resolved,new
the package contains an unauthorized tobacco commodity and we are unable to complete the delivery,Unable to deliver,
the package has been sent to ups lost and found,new__new__Package sent to lost and found,new
the package is being processed for clearance,Customs clearance in progress,
the package was given to ups after the cutoff time and the delivery date may be impacted,Delay due to operational reasons,
/ the receiver has acknowledged receipt of this package,Delivered,
the receiver has agreed to accept the delivery charges,Internal activity scan,
the receiver has moved we re returning the package to the sender,Returned to sender,
the receiver has moved we will deliver the package to the receiver s new address,Receiver moved,
the receiver refused the package that requires a package release code the package will be returned to sender,Delivery refused,
the receiver requested the package be rerouted to an alternate location for customer pickup,Delivery to pick-up point requested,
the receiver requested ups my choice authorize shipment release,Internal activity scan,
the receiver requested ups my choice authorize shipment release,Internal activity scan,
the recovery intercept was successfully completed,Internal activity scan,
there was a modification to the recovery intercept on this package,Internal activity scan,
the sender requested that we return the package,Returned to sender,
the street suffix is incorrect this may delay delivery we re attempting to update the address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
the ups access point selected as part of your delivery change request is unavailable at this time please select an alternate location for delivery,Delivery to pick-up point pending,
the ups surepost package was misrouted it is currently being transferred to the correct usps office for final delivery,Carrier misrouted the shipment - Corrective action underway,
this delivery was made after the ups service commitment time of 10 30 a m,Delay due to operational reasons,
this delivery was made after the ups service commitment time of noon,Delay due to operational reasons,
this package was not picked up from the requested ups facility and will be returned to the sender,Returned to sender,
unable to contact customer at primary number,Request to contact carrier,
unfortunately a labor strike unrelated to ups has prevented delivery of your package,Delay due to operational reasons,
ups has returned your package to the sender,Returned to sender,
ups initiated contact with receiver to collect the import processing fee select pay now where available,new__Contact with sender made,new
ups my choice member s chosen ups access point preferences are not available,Delivery to pick-up point pending,
ups printed and applied the shipping label,Internal activity scan,
ups will deliver your ups surepost package instead of the post office,Delivery to alternative address requested,
ups will follow up with the sender,Carrier to contact sender or receiver,
ups will redeliver to same address on day after same day will call request,Delivery rescheduled,
we are returning the package to the sender as the receiver requested,Returned to sender,
we have upgraded the package as requested by the receiver,Internal activity scan,
we ll contact the sender or receiver because sender/importer validation is required by customs before release,Information needed from the receiver,
we missed you again we ll make a final attempt on the next business day,1st of 3 Delivery attempts. Receiver not available,
we missed you we are taking your package to a local ups access point next business day for customer pickup,Delivery to pick-up point pending,
we re returning this package to the sender as requested by the receiver,Returned to sender,
we ve left a notice about the package,not_clear,
we ve left the package on one of our planes this may cause a delay,Transit delay,
we ve requested a modified intercept for this package,Internal activity scan,
we were unable to deliver your package it s on the way to a secure ups access point location for pick up,In Transit,
your delivery has been rescheduled,Delivery rescheduled,
your investigation has been closed with a proof of delivery,Internal activity scan,
your package entry was rejected by the clearing agency we will process according to the sender s instructions,Customs clearance in progress,
your package has been delayed due to a security check,Transit delay,
your package has been removed from a climate controlled environment,new__new__Package removed from climate controlled environment,new
your package was upgraded to a new service level,Internal activity scan,
your shipment s delivery will be scheduled upon entry clearance or returned if denied entry,Customs clearance in progress,
your shipment s international documents are needing commodity classification if you are the sender please submit valid documents to resume the transit journey,Additional information required for customs clearance,
your ups surepost package was transferred to the wrong post office it is being corrected,Carrier misrouted the shipment - Corrective action underway,
1 parcels collected on delivery,Shipment collected,
carded,Delivery attempted. Receiver not available for delivery,
change delivery date requested,New instructions received - We updated the delivery information for your package,
collected from depot received by james,Delivered,
contents checked during hub sort,In Transit,
customs inspection required,Held for inspection by government agency,
delivered collected from depot received by ziffitt id photo id passport,Delivered,
delivered id checked,not_clear,
delivered left at 11 received by hampton,Delivered to neighbour,
delivered left at 11 received by lloyd d,Delivered to neighbour,
delivered left at 11 received by owens,Delivered to neighbour,
delivered left at 11 received by pharmacy,Delivered to neighbour,
delivered left at 12 received by edwards,Delivered to neighbour,
delivered left at 140 received by patsy,Delivered to neighbour,
delivered left at 190 received by martina,Delivered to neighbour,
delivered left at 195 received by toolstation,Delivered to neighbour,
delivered left at 1a received by fountain,Delivered to neighbour,
delivered left at 1 received by h greaves,Delivered to neighbour,
delivered left at 20 received by corb,Delivered to neighbour,
delivered left at 23 received by wood,Delivered to neighbour,
delivered left at 25 received by garry,Delivered to neighbour,
delivered left at 25 received by open,Delivered to neighbour,
delivered left at 2 received by jones,Delivered to neighbour,
delivered left at 2 received by mcgowan,Delivered to neighbour,
delivered left at 30 rose received by rose,Delivered to neighbour,
delivered left at 38 received by michelle,Delivered to neighbour,
delivered left at 38 received by paul,Delivered to neighbour,
delivered left at 3 received by price,Delivered to neighbour,
delivered left at 40 received by aaron,Delivered to neighbour,
delivered left at 48 received by newton,Delivered to neighbour,
delivered left at 49 received by lisa,Delivered to neighbour,
delivered left at 53 received by lowing,Delivered to neighbour,
delivered left at 5 received by windy,Delivered to neighbour,
delivered left at 67 surbiton road londis shop received by patel,Delivered to neighbour,
delivered left at 6 received by danial,Delivered to neighbour,
delivered left at 6 received by street,Delivered to neighbour,
delivered left at 70 lm design received by anna,Delivered to neighbour,
delivered left at 70 received by lawson,Delivered to neighbour,
delivered left at 78 received by sarah,Delivered to neighbour,
delivered left at 84 received by janel,Delivered to neighbour,
delivered left at 9 0pp received by richard,Delivered to neighbour,
delivered left at 9c sam received by sam,Delivered to neighbour,
delivered left at a1 received by adam,Delivered to neighbour,
delivered left at brynawelon received by evans,Delivered to neighbour,
delivered left at by the way received by finch,Delivered to neighbour,
delivered left at coral received by a adam,Delivered to neighbour,
delivered left at daisy chain received by daisy,Delivered to neighbour,
delivered left at dml received by matt,Delivered to neighbour,
delivered left at d spirit next to sg tanks received by driving spirit,Delivered to neighbour,
delivered left at dulux received by smith,Delivered to neighbour,
delivered left at emm dee stores received by dinish,Delivered to neighbour,
delivered left at flat 2 received by john,Delivered to neighbour,
delivered left at jjs cafe received by jjs cafe,Delivered to neighbour,
delivered left at loyal auto received by loyal,Delivered to neighbour,
delivered left at maydencroft received by james,Delivered to neighbour,
delivered left at nightingale loghd3 received by nightingale lodhe,Delivered to neighbour,
delivered left at organic received by jemie,Delivered to neighbour,
delivered left at premier shop received by birkett,Delivered to neighbour,
delivered left at quinn roofing received by dunn,Delivered to neighbour,
delivered left at rafs received by raf,Delivered to neighbour,
delivered left at raze the roof received by smith,Delivered to neighbour,
delivered left at security office received by rubly,Delivered,
delivered left at uk electricals whole sale trade counter offic2 received by sam,Delivered to neighbour,
delivered left at unit 10 received by jim,Delivered to neighbour,
delivered left at unit11 received by jerry,Delivered to neighbour,
delivered left at unit 2 jm clark received by asal,Delivered to neighbour,
delivered left at unit no5 received by iian,Delivered to neighbour,
delivered to alternative address,Delivery to alternative address requested,
delivered to alternative address by almira batanovic,Delivery to alternative address requested,
delivered to alternative address received by a de jong,Delivery to alternative address requested,
delivered to alternative address received by burn,Delivery to alternative address requested,
delivered to alternative address received by buur v,Delivery to alternative address requested,
delivered to alternative address received by goedt m,Delivery to alternative address requested,
delivered to alternative address received by handyhaus,Delivery to alternative address requested,
delivered to alternative address received by handy vip eyup,Delivery to alternative address requested,
delivered to alternative address received by hartmann,Delivery to alternative address requested,
delivered to alternative address received by j sj,Delivery to alternative address requested,
delivered to alternative address received by kroeber,Delivery to alternative address requested,
delivered to alternative address received by milop,Delivered,
delivered to alternative address received by nr87,Delivered,
delivered to alternative address received by silke hoenselaar,Delivered,
delivered to alternative address received by stummer,Delivered,
delivered to alternative address received by tol f,Delivered,
delivered to pickup point sms notification proof of delivery sms notification sent,Shipment ready for collection from pick-up point,
delivered to post office/collection point,new__Delivered to collection point or pick-up location,new
delivered with consignee s authority by acklam stuart,Driver release - Delivered to a safe place,
delivered with consignee s authority by bogdahn holger,Driver release - Delivered to a safe place,
delivered with consignee s authority by evm 68,Driver release - Delivered to a safe place,
delivered with consignee s authority by gṛ pke steffen,,
delivered with consignee s authority by mangold florian,Driver release - Delivered to a safe place,
delivered with consignee s authority by sandro strasser,Driver release - Delivered to a safe place,
delivered with consignee s authority by schmitt,Driver release - Delivered to a safe place,
delivered with consignee s authority by seethaler florian,Driver release - Delivered to a safe place,
delivered with consignee s authority by strittmatter nicole und oliver,Driver release - Delivered to a safe place,
delivered with consignee s authority by wajiha noor malik,Driver release - Delivered to a safe place,
delivered with consignee s authority received by adidas ag hzo brenes yolanda gome,Driver release - Delivered to a safe place,
delivered with consignee s authority received by aichholz marc,Driver release - Delivered to a safe place,
delivered with consignee s authority received by annika haas,Driver release - Delivered to a safe place,
delivered with consignee s authority received by argirov gillmeister dimitar mark,Driver release - Delivered to a safe place,
delivered with consignee s authority received by baskakov,Driver release - Delivered to a safe place,
delivered with consignee s authority received by bernd mutke,Driver release - Delivered to a safe place,
delivered with consignee s authority received by bṛ ning sarah,,
delivered with consignee s authority received by ḍ rner michael,,
delivered with consignee s authority received by den boer markus,Driver release - Delivered to a safe place,
delivered with consignee s authority received by deser,Driver release - Delivered to a safe place,
delivered with consignee s authority received by doris heine,Driver release - Delivered to a safe place,
delivered with consignee s authority received by dr florian stellmacher,Driver release - Delivered to a safe place,
delivered with consignee s authority received by easypaketshop,Driver release - Delivered to a safe place,
delivered with consignee s authority received by elbadawi sophie,Driver release - Delivered to a safe place,
delivered with consignee s authority received by esser dr simone,Driver release - Delivered to a safe place,
delivered with consignee s authority received by evgenia grishina,Driver release - Delivered to a safe place,
delivered with consignee s authority received by faiza umatul,Driver release - Delivered to a safe place,
delivered with consignee s authority received by goebber,Driver release - Delivered to a safe place,
delivered with consignee s authority received by gohlke thomas,Driver release - Delivered to a safe place,
delivered with consignee s authority received by hạ elmann,,
delivered with consignee s authority received by hagedorn benjamin,Driver release - Delivered to a safe place,
delivered with consignee s authority received by hagen,Driver release - Delivered to a safe place,
delivered with consignee s authority received by haller,Driver release - Delivered to a safe place,
delivered with consignee s authority received by holeschek western style shopping,Driver release - Delivered to a safe place,
delivered with consignee s authority received by huber kerstin,Driver release - Delivered to a safe place,
delivered with consignee s authority received by jacqueline jokic,Driver release - Delivered to a safe place,
delivered with consignee s authority received by jungermann dominik,Driver release - Delivered to a safe place,
delivered with consignee s authority received by justyna weiss,Driver release - Delivered to a safe place,
delivered with consignee s authority received by kern wolfgang,Driver release - Delivered to a safe place,
delivered with consignee s authority received by kindermann wolfgang,Driver release - Delivered to a safe place,
delivered with consignee s authority received by kinga pinterova,Driver release - Delivered to a safe place,
delivered with consignee s authority received by kraus,Driver release - Delivered to a safe place,
delivered with consignee s authority received by lamm mario,Driver release - Delivered to a safe place,
delivered with consignee s authority received by lerch sarah und philipp,Driver release - Delivered to a safe place,
delivered with consignee s authority received by mail sam,Driver release - Delivered to a safe place,
delivered with consignee s authority received by maraun /17732 thorsten,Driver release - Delivered to a safe place,
delivered with consignee s authority received by michael rumpel,Driver release - Delivered to a safe place,
delivered with consignee s authority received by nimatullah azami,Driver release - Delivered to a safe place,
delivered with consignee s authority received by oder rainer,Driver release - Delivered to a safe place,
delivered with consignee s authority received by ortmeier,Driver release - Delivered to a safe place,
delivered with consignee s authority received by petterson ronald,Driver release - Delivered to a safe place,
delivered with consignee s authority received by prebeck kathrin,Driver release - Delivered to a safe place,
delivered with consignee s authority received by rugins de montoya susan,Driver release - Delivered to a safe place,
delivered with consignee s authority received by saager norman und sabine,Driver release - Delivered to a safe place,
delivered with consignee s authority received by schule birklehof e v,Driver release - Delivered to a safe place,
delivered with consignee s authority received by seitz christopher,Driver release - Delivered to a safe place,
delivered with consignee s authority received by seli gmbh a technik,Driver release - Delivered to a safe place,
delivered with consignee s authority received by soppa bruno,Driver release - Delivered to a safe place,
delivered with consignee s authority received by stephan tobias,Driver release - Delivered to a safe place,
delivered with consignee s authority received by stock sebastian,Driver release - Delivered to a safe place,
delivered with consignee s authority received by stojanocic,Driver release - Delivered to a safe place,
delivered with consignee s authority received by swiss paket,Driver release - Delivered to a safe place,
delivered with consignee s authority received by sylwia gwardys,Driver release - Delivered to a safe place,
delivered with consignee s authority received by tatjana lewinski,Driver release - Delivered to a safe place,
delivered with consignee s authority received by technische universitaet,Driver release - Delivered to a safe place,
delivered with consignee s authority received by thomas haderli c/o llan lin,Driver release - Delivered to a safe place,
delivered with consignee s authority received by vogt angelina,Driver release - Delivered to a safe place,
delivered with consignee s authority received by windler,Driver release - Delivered to a safe place,
delivered with consignee s authority received by wolfgang jern,Driver release - Delivered to a safe place,
delivered with consignee s authority received by wolthusen janine,Driver release - Delivered to a safe place,
delivered with consignee s authority received by zaylia israel,Driver release - Delivered to a safe place,
deliver to alternative address requested,Delivery to alternative address requested,
delivery instructions provided instruction please can you delivery it by 1pm as its needed for a event in the evening and they need to leave by 2pm,New instructions received - We updated the delivery information for your package,
delivery note / order reference required by brachmann,Request to contact carrier,
delivery refused as the contact name was not recognised by sam,Delivery refused,
delivery refused by danthony using saturn,Delivery refused,
delivery refused by driver using saturn,Delivery refused,
delivery refused by jesus using saturn,Delivery refused,
delivery runsheet image available,Internal activity scan,
delivery to dpd pickup locker bp girdle toll service station requested not home sms notification sent,Delivery to pick-up point requested,
delivery to dpd pickup locker bp milton regis service station requested not home sms notification sent,Delivery to pick-up point requested,
delivery to dpd pickup locker esso westbound requested not home sms not home e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup locker esso woodston service station requested not home sms not home e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup locker homebase requested collect from pickup acknowledgement sms collect from pickup acknowledgement e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup locker not possible collect from pickup apology sms collect from pickup apology e mail notification sent,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,
delivery to dpd pickup locker stonegate talisman tunstall requested collect from pickup acknowledgement sms collect from pickup acknowledgement e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup locker yeep the brewery requested collect from pickup acknowledgement e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup point after unsuccessful delivery attempt not home by danny winter,Delivery to pick-up point pending,
delivery to dpd pickup point after unsuccessful delivery attempt not home by dawnbreed records jeff,Delivery to pick-up point pending,
delivery to dpd pickup point after unsuccessful delivery attempt not home by frans van heel van heel,Delivery to pick-up point pending,
delivery to dpd pickup point after unsuccessful delivery attempt not home by i4light,Delivery to pick-up point pending,
delivery to dpd pickup point after unsuccessful delivery attempt not home by michelle cooper jrkxjx,Delivery to pick-up point pending,
delivery to dpd pickup point after unsuccessful delivery attempt not home by pricilja veenkamp veen,Delivery to pick-up point pending,
delivery to dpd pickup point requested,Delivery to pick-up point requested,
delivery to dpd pickup shop alimentation grand palais requested,Delivery to pick-up point requested,
delivery to dpd pickup shop awg mode center requested,Delivery to pick-up point requested,
delivery to dpd pickup shop billa filiale 8158 requested,Delivery to pick-up point requested,
delivery to dpd pickup shop b k food wine requested not home sms not home e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup shop budni friedrichshain requested,Delivery to pick-up point requested,
delivery to dpd pickup shop carrefour market drive requested,Delivery to pick-up point requested,
delivery to dpd pickup shop cordonnerie serrurerie patricio requested,Delivery to pick-up point requested,
delivery to dpd pickup shop diska oschatz requested,Delivery to pick-up point requested,
delivery to dpd pickup shop droguerie g dubouloz requested,Delivery to pick-up point requested,
delivery to dpd pickup shop e leclerc bricolage requested,Delivery to pick-up point requested,
delivery to dpd pickup shop franprix requested,Delivery to pick-up point requested,
delivery to dpd pickup shop gordijn wereld requested,Delivery to pick-up point requested,
delivery to dpd pickup shop harry̢ s getṛ nkeecke requested,,
delivery to dpd pickup shop hyper u multimedia billetterie requested,Delivery to pick-up point requested,
delivery to dpd pickup shop hyper u requested,Delivery to pick-up point requested,
delivery to dpd pickup shop king candy schwerin requested,Delivery to pick-up point requested,
delivery to dpd pickup shop l̢ amiral requested,,
delivery to dpd pickup shop la poste carrepro montrouge requested,Delivery to pick-up point requested,
delivery to dpd pickup shop la poste ppdc narbonne requested,Delivery to pick-up point requested,
delivery to dpd pickup shop la tabatiere requested,Delivery to pick-up point requested,
delivery to dpd pickup shop le relais des mousquetaires requested,Delivery to pick-up point requested,
delivery to dpd pickup shop leyton post office requested not home e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup shop lotto totto kiosk requested,Delivery to pick-up point requested,
delivery to dpd pickup shop marche aux affaires requested,Delivery to pick-up point requested,
delivery to dpd pickup shop max shop almelo requested,Delivery to pick-up point requested,
delivery to dpd pickup shop mon animalerie requested,Delivery to pick-up point requested,
delivery to dpd pickup shop moreton in marsh post office requested not home sms not home e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup shop not possible,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible collect from pickup apology e mail notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible collect from pickup apology sms collect from pickup apology e mail notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible collect from pickup apology sms notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible pickup delay e mail notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible pickup delay sms notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible pickup delay sms pickup delay e mail notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop not possible sms e mail notification sent,Delivery to pick-up point pending,
delivery to dpd pickup shop nur design requested,Delivery to pick-up point requested,
delivery to dpd pickup shop optique malesherbes requested,Delivery to pick-up point requested,
delivery to dpd pickup shop pieterse mode textiel requested,Delivery to pick-up point requested,
delivery to dpd pickup shop premier west road convenience store requested collect from pickup acknowledgement e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup shop premier wharf road requested not home e mail notification sent,Delivery to pick-up point requested,
delivery to dpd pickup shop primeur saint clement requested,Delivery to pick-up point requested,
delivery to dpd pickup shop profi line gotha requested,Delivery to pick-up point requested,
delivery to dpd pickup shop rapid pare brise monkey requested,Delivery to pick-up point requested,
delivery to dpd pickup shop romulco tweewielers requested,Delivery to pick-up point requested,
delivery to dpd pickup shop sahin sahin gbr requested,Delivery to pick-up point requested,
delivery to dpd pickup shop save requested,Delivery to pick-up point requested,
delivery to dpd pickup shop super u express requested,Delivery to pick-up point requested,
delivery to dpd pickup shop toeter gadgets requested,Delivery to pick-up point requested,
delivery to dpd pickup shop top1toys drachten requested,Delivery to pick-up point requested,
delivery to dpd pickup shop vatantel requested,Delivery to pick-up point requested,
delivery to dpd pickup shop viatim a b requested,Delivery to pick-up point requested,
delivery to dpd pickup shop viatim nederland b v hoofdaccoun requested,Delivery to pick-up point requested,
delivery to dpd pickup shop wow nails nijmegen requested,Delivery to pick-up point requested,
delivery to neighbour has been requested if recipient is not in to receive the item,Delivery to pick-up point requested,
export paperwork/invoices missing,Missing or incomplete export documentation,
forwarded to mps pre paid roissy fr,new__new__forwarded to mps pre paid roissy fr,new
held in customs vat/id required,Held awaiting tax payment by the receiver,
held in depot,Shipment on hold,
held in depot contents checked,Shipment on hold,
held in trailer from hub trailer 1953,Shipment on hold,
held in trailer from hub trailer 2960,Shipment on hold,
held unexpected/uncontrollable event,Shipment on hold,
import charges paid,Tax payment received,
import charges reminder sent,new__new__import charges reminder sent,new
imported by international gateway from dpd group import arrived sms notification sent,new__new__imported by international gateway from dpd group import arrived sms notification sent,new
late arrival in transit,Transit delay,
manually sorted non conveyable traffic,In Transit,
misloaded and redirected,Carrier misrouted the shipment - Corrective action underway,
missing or incorrect delivery data,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
ofd email and sms notification between 11 30 12 30,new__new__ofd email and sms notification between 11 30 12 30,new
ofd email and sms notification between 12 31 13 31,new__new__ofd email and sms notification between 12 31 13 31,new
ofd email notification between 09 00 13 00,new__new__ofd email notification between 09 00 13 00,new
ofd email notification between 09 11 10 11,new__new__ofd email notification between 09 11 10 11,new
ofd email notification between 09 23 10 23,new__new__ofd email notification between 09 23 10 23,new
ofd email notification between 09 25 11 25,not_clear,
ofd email notification between 09 55 10 55,not_clear,
ofd email notification between 11 21 12 21,not_clear,
ofd email notification between 12 20 13 20,not_clear,
ofd email notification between 13 00 15 00,not_clear,
ofd email notification between 13 04 14 04,not_clear,
ofd email notification between 13 06 14 06,not_clear,
ofd email notification between 13 26 14 26,not_clear,
ofd email notification between 13 54 14 54,not_clear,
ofd email notification between 16 34 17 34,not_clear,
ofd sms notification between 08 40 09 40,not_clear,
ofd sms notification between 13 00 14 00,not_clear,
ofd sms notification between 13 00 15 00,not_clear,
ofd sms notification between 13 25 14 25,not_clear,
off loaded,not_clear,
offshore downgrade hazardous goods,new__new__offshore downgrade hazardous goods,new
pending information from origin depot,new__new__pending information from origin depot,new
picked up by consumer by andrew goudie,Delivered,
picked up by consumer by daniel mulder,Delivered,
picked up by consumer by danny,Delivered,
picked up by consumer by dawnbreed records,Delivered,
picked up by consumer by drewes tebbes,Delivered,
picked up by consumer by duco,Delivered,
picked up by consumer by egorov arseny romanovich,Delivered,
picked up by consumer by frank k,Delivered,
picked up by consumer by frans van heel,Delivered,
picked up by consumer by i4light,Delivered,
picked up by consumer by ivan varela domarco,Delivered,
picked up by consumer by kerli puvi,Delivered,
picked up by consumer by kruisland,Delivered,
picked up by consumer by marcel antheunisse,Delivered,
picked up by consumer by mathew cooper,Delivered,
picked up by consumer by michelle,Delivered,
picked up by consumer by ms sabrina mirza,Delivered,
picked up by consumer by pip menzel,Delivered,
picked up by consumer by pricilja veenkamp,Delivered,
picked up by consumer by ramio fernandez gonzalez,Delivered,
picked up by consumer by rib,Delivered,
picked up by consumer by trix schmal,Delivered,
picked up by consumer by van vegchel,Delivered,
postcode error redirected,Carrier misrouted the shipment - Corrective action underway,
prohibited goods,new__new__prohibited goods,new
ready for collection pickup,Shipment ready for collection from pick-up point,
ready for collection sms confirmed as received,Shipment ready for collection from pick-up point,
ready for collection sms sent successfully,Shipment ready for collection from pick-up point,
received at pickup by andrew goudie,Delivered,
receiver refused to pay on delivery,Delivery refused,
recipient absent on second delivery attempt by cox,Delivery attempted. Receiver not available for delivery,
redelivery request deliver to neighbour made for mon 24 april 2023 delivery to neighbour acknowledgement sms notification sent,new__Delivery to neighbour,new
redelivery request leave in safe place made for fri 16 june 2023 safe place acknowledgement sms notification sent,Driver release - Delivered to a safe place,
redelivery request leave in safe place made for thu 09 march 2023 safe place acknowledgement sms safe place acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request leave in safe place made for tue 28 march 2023 safe place acknowledgement sms safe place acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request new address made for fri 10 march 2023 alternative address acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request new address made for fri 26 may 2023,New instructions received - We updated the delivery information for your package,
redelivery request new address made for fri 31 march 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
