scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
the requested service for your shipment has been changed for assistance please contact dhl-DHL UK-Service not available for this location and will be changed,the requested service for your shipment has been changed for assistance please contact dhl,RegEx,498073f9-9119-4e73-a93d-99a3586ea132,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Service not available for this location and will be changed,Service not available for this location and will be changed,new__New instructions received – We updated the delivery information for your package,new__New instructions received – We updated the delivery information for your package,new__new__service_change_request,Service not available for this location and will be changed,Service not available for this location and will be changed,Service not available for this location and will be changed,Service not available for this location and will be changed,Service not available for this location and will be changed
the receiver has refused to accept the shipment at the time of delivery attempt as the shipment contents have not been ordered by them-DHL UK-Delivery refused,the receiver has refused to accept the shipment at the time of delivery attempt as the shipment contents have not been ordered by them,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery refused,Delivery refused,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,Delivery refused,Delivery refused,Delivery refused,Delivery refused,Delivery refused
the receiver has refused to accept the shipment as the time of delivery-DHL UK-Delivery refused,the receiver has refused to accept the shipment as the time of delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery refused,Delivery refused,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,Delivery refused,Delivery refused,Delivery refused,Delivery refused,Delivery refused
the piece has arrived later than normally scheduled and cannot make its expected planned movement / delivery cycle-DHL UK-Carrier error delayed delivery,the piece has arrived later than normally scheduled and cannot make its expected planned movement / delivery cycle,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Arrived late at destination - Expect 1 business day delivery delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay
the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities-DHL UK-Clearance has been delayed by customs or other government agency,the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities,RegEx,e88ff616-6014-4117-9c92-de79a974709f,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Clearance has been delayed by customs or other government agency,Additional information required for customs clearance,Shipment on hold,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance
the clearance process for this shipment is pending due to incomplete shipper paperwork-DHL UK-Missing or incomplete export documentation,the clearance process for this shipment is pending due to incomplete shipper paperwork,RegEx,670d81f1-0218-4fb2-848d-6a3bd0098713,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Missing or incomplete export documentation,Missing or incomplete export documentation,Shipment on hold,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Missing or incomplete export documentation,Missing or incomplete export documentation,Missing or incomplete export documentation,Missing or incomplete export documentation
testing awaiting export license to complete clearance-DHL UK-Missing export license required for clearance,testing awaiting export license to complete clearance,RegEx,0472d1dd-17cf-45a4-86f8-39c52fa8d124,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Missing export license required for clearance,Missing export license required for clearance,Shipment on hold,Additional information or paperwork required for customs clearance,new__new__awaiting_export_license,new__new__testing awaiting export license,Missing export license required for clearance,Missing export license required for clearance,Missing export license required for clearance,Missing export license required for clearance
shipper contacted-DHL UK-Contant with sender made,shipper contacted,RegEx,c7111e6f-7106-4022-b768-130c93960584,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Contant with sender made,Contant with sender made,Internal activity scan,Request to contact carrier,new__new__shipper_contacted,new__new__shipper contacted,new__Contact with sender made,new__Contact with sender made,new__Contact with sender made,new__Contact with sender made
shipment picked up-DHL UK-Shipment collected,shipment picked up,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment collected,Shipment collected,Delivered,Delivered,Delivered,Delivered,Shipment collected,Shipment collected,Shipment collected,Shipment collected
shipment on hold-DHL UK-Shipment on hold,shipment on hold,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold
shipment may contain personal effects therefore specific customs processing may be required-DHL UK-Additional information required for customs clearance,shipment may contain personal effects therefore specific customs processing may be required,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Personal affects form required for customs clearance,new__new__customs_processing_required,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,new__Personal effects form required for customs clearance,new__Personal effects form required for customs clearance,new__Personal effects form required for customs clearance,new__Personal effects form required for customs clearance
"shipment is held pending clarification of goods valuation-DHL UK-Due to commodity or weight, your package is being held to verify value.",shipment is held pending clarification of goods valuation,RegEx,e4f3df0c-b4df-45c8-b441-b3d1c235d7d1,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,"Due to commodity or weight, your package is being held to verify value.",Shipment is held to verify commodity description for correct classification,Shipment on hold,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Held for inspection by government agency,Held for inspection by government agency,Held for inspection by government agency,Held for inspection by government agency
shipment held available upon receipt of payment-DHL UK-Held awaiting tax payment by the receiver,shipment held available upon receipt of payment,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,Shipment on hold,Shipment on hold,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver
shipment arrived at wrong facility sent to correct destination-DHL UK-Carrier error delayed delivery,shipment arrived at wrong facility sent to correct destination,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,In Transit,In Transit,In Transit,In Transit,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway
shipment arrived at incorrect facility sent to correct destination-DHL UK-Carrier error delayed delivery,shipment arrived at incorrect facility sent to correct destination,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,In Transit,In Transit,In Transit,In Transit,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway
scheduled for delivery as agreed-DHL UK-Scheduled for delivery,scheduled for delivery as agreed,RegEx,df0f8dc8-63fb-4893-90d6-a1ad1daa7ac5,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Scheduled for delivery,Scheduled for delivery,In Transit,not_clear,not_clear,not_clear,Scheduled for delivery,Scheduled for delivery,Scheduled for delivery,Scheduled for delivery
scheduled for delivery-DHL UK-Scheduled for delivery,scheduled for delivery,RegEx,df0f8dc8-63fb-4893-90d6-a1ad1daa7ac5,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Scheduled for delivery,Scheduled for delivery,In Transit,not_clear,not_clear,not_clear,Scheduled for delivery,Scheduled for delivery,Scheduled for delivery,Scheduled for delivery
recipient refused delivery-DHL UK-Delivery refused,recipient refused delivery,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery refused,Delivery refused,Unable to deliver,Unable to deliver,Unable to deliver,Delivery refused,Delivery refused,Delivery refused,Delivery refused,Delivery refused
recipient moved-DHL UK-Receiver moved,recipient moved,RegEx,e6b9d6cf-c415-4708-afc1-66205ab85d88,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Receiver moved,Receiver moved,not_clear,not_clear,not_clear,not_clear,not_clear,Receiver moved,Receiver moved,Receiver moved
processed at-DHL UK-In Transit,processed at,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,In Transit,not_clear,not_clear,not_clear,not_clear,In Transit,In Transit,In Transit,In Transit
please contact dhl-DHL UK-Request to contact carrier,please contact dhl,RegEx,53e44803-b64b-418e-8bcf-c6ec2fdbe0d0,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier,Request to contact carrier
paperwork is required from the importer to continue with the clearance processing-DHL UK-Additional information required for customs clearance,paperwork is required from the importer to continue with the clearance processing,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information or paperwork required for customs clearance,new__new__clearance_processing_required,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance
missorted to an incorrect location-DHL UK-Carrier error delayed delivery,missorted to an incorrect location,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Carrier misrouted the shipment - Corrective action underway,In Transit,In Transit,In Transit,In Transit,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway,Carrier misrouted the shipment - Corrective action underway
incomplete address information may delay delivery we are attempting to update this information-DHL UK-Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,incomplete address information may delay delivery we are attempting to update this information,RegEx,09d773ea-c117-40a5-849e-d4f927bc016f,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,new__New instructions received – We updated the delivery information for your package,new__Delivery address incomplete. Awaiting resolution,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery
further clearance processing is required-DHL UK-Customs clearance delay,further clearance processing is required,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance in progress,new__new__clearance_processing_required,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Additional information or paperwork required for customs clearance,Customs clearance in progress,Customs clearance in progress,Customs clearance in progress
forwarded for delivery-DHL UK-In Transit,forwarded for delivery,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,In transit,In Transit,In Transit,In Transit,In Transit,Out for delivery,Out for delivery,Out for delivery,Out for delivery
due to the heavy traffic on the delivery route the shipment could not be delivered-DHL UK-Delivery delayed due to a traffic related issue,due to the heavy traffic on the delivery route the shipment could not be delivered,RegEx,d85cc369-31bf-43aa-9329-ab420060f618,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery delayed due to a traffic related issue,Delivery delayed due to a traffic related issue,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay
due to the adverse weather conditions the shipment could not be delivered-DHL UK-Delay due to adverse weather conditions,due to the adverse weather conditions the shipment could not be delivered,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delivery attempted. Receiver not available for delivery,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions
due to adverse weather conditions the shipment could not be delivered-DHL UK-Delay due to adverse weather conditions,due to adverse weather conditions the shipment could not be delivered,RegEx,846d6640-376c-49b4-96d7-f5af9ab057d7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delivery attempted. Receiver not available for delivery,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions,Delay due to adverse weather conditions
due to a technical issue the shipment is currently on hold pending further processing-DHL UK-Shipment on hold,due to a technical issue the shipment is currently on hold pending further processing,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold
due to a public holiday at the destination the shipment processing is on hold for this period-DHL UK-Delivery rescheduled due to holiday closures,due to a public holiday at the destination the shipment processing is on hold for this period,RegEx,4b22eecd-bdb4-4030-a64b-f7f1f7a8bf37,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery rescheduled due to holiday closures,Delivery rescheduled due to holiday closures,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold,Shipment on hold
disruption in network tractor trailer-DHL UK-Carrier error delayed delivery,disruption in network tractor trailer,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Delay due to mechanical failure,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay,Transit delay
dhl needs to contact the receiver but contact details provided are inaccurate or insufficient to make contact-DHL UK-Valid receiver's contact information required,dhl needs to contact the receiver but contact details provided are inaccurate or insufficient to make contact,RegEx,ac2ea6ba-0e4d-4a6d-9710-b986c170f65e,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Valid receiver's contact information required,Valid receiver's contact information required,Request to contact carrier,Request to contact carrier,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery,new__Incomplete or incorrect delivery address. Additional information or directions needed for delivery
partial delivery-DHL UK-Partial delivery,partial delivery,RegEx,15f4571c-c322-47dd-be65-0fa72b3507a1,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Partial delivery,Partial delivery,In Transit,not_clear,not_clear,not_clear,not_clear,new__Partially delivered,new__Partially delivered,new__Partially delivered
dhl needs further information from the importer-DHL UK-Additional information required for customs clearance,dhl needs further information from the importer,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information required for customs clearance,,,,,,,,Awaiting further instructions from receiver
delivery attempted recipient not home-DHL UK-Delivery attempted. Receiver not available for delivery,delivery attempted recipient not home,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,,,,,,,,Delivery attempted. Receiver not available for delivery
delivery attempted premises closed-DHL UK-Delivery attempted. Receiver not available for delivery,delivery attempted premises closed,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,,,,,,,,Delivery attempted. Receiver not available for delivery
delivery attempted consignee premises closed-DHL UK-Delivery attempted. Receiver not available for delivery,delivery attempted consignee premises closed,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,,,,,,,,Delivery attempted. Receiver not available for delivery
delivery arranged no details expected-DHL UK-Package on hold for delivery,delivery arranged no details expected,RegEx,667c9f0c-4671-4af0-a788-c264b8553dac,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Package on hold for delivery,Delivery scheduled for a future date,,,,,,,,new__new__Delivery arrangement pending
delivered to broker as requested-DHL UK-Handover to broker for clearance,delivered to broker as requested,RegEx,790eb422-1fc4-4074-b2a7-e3330538c7a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Handover to broker for clearance,Handover to broker for clearance,,,,,,,,Delivered
delivered signed for by-DHL UK-Delivered,delivered signed for by,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Delivered,Delivered,,,,,,,,Delivered
declared as repair and return which requires specific customs processing including serial numbers and other proof of status-DHL UK-The returned package requires an export invoice for duty relief,declared as repair and return which requires specific customs processing including serial numbers and other proof of status,RegEx,3d3bb87b-f197-407b-b7cc-cd33835f135d,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,The returned package requires an export invoice for duty relief,Shipment is held to verify commodity description for correct classification,,,,,,,,Additional information or paperwork required for customs clearance
customs status updated-DHL UK-Customs clearance in progress,customs status updated,RegEx,4796f4a2-c081-41d0-82fe-d8a982078677,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance in progress,Processed for clearance,,,,,,,,new__new__Customs status update
customer instructed to reschedule attempted delivery of the shipment-DHL UK-Request to reschedule delivery,customer instructed to reschedule attempted delivery of the shipment,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,new__New instructions received – We updated the delivery information for your package
collection scan-DHL UK-Shipment collected,collection scan,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Shipment collected,Shipment collected,,,,,,,,new__new__Collection scan
departed facility-DHL UK-In Transit,departed facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,,,,,,,,Departure Scan
clearance is pending while waiting for the arrival of all piece s of a multi piece shipment-DHL UK-Customs clearance delay,clearance is pending while waiting for the arrival of all piece s of a multi piece shipment,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Shipment on hold - awaiting rest of shipment,,,,,,,,Customs clearance in progress
